新番号,旧番号,名称,短縮名
10000,10000,聖治命院,聖治命院
10001,10001,聖龍華院,聖龍華院
10121,0121,江別準総壇,江別
10122,0122,札幌準総壇,札幌
10131,0131,十勝準総壇,十勝
10141,0141,朱雀準総壇,朱雀
20201,0201,青森伝道会,青森
20301,0301,岩手伝道会,岩手
20401,0401,宮城伝道会,宮城
20501,0501,秋田伝道会,秋田
20603,0603,月山準総壇,月山
20605,0605,最上川準総壇,最上川
20606,0606,庄内準総壇,庄内
20701,0701,福島伝道会,福島
31101,1101,埼玉準公壇,埼玉
31201,1201,千葉準公壇,千葉
31301,1301,東京準総壇,東京
31303,1303,大江戸準総壇,大江戸
31304,1304,羽田準総壇,羽田
31305,1305,お台場準総壇,お台場
31400,1400,神奈川準総壇,神奈川
31405,1405,神奈川東準総壇,神奈川東
31406,1406,神奈川西準総壇,神奈川西
31407,,かながわ準総壇,かながわ
31901,1901,山梨伝道会,山梨
32201,2201,静岡準総壇,静岡
32204,2204,富士山準総壇,富士山
32205,2205,駿天準総壇,駿天
41505,1505,新潟準公壇,新潟
41605,1605,北陸準公壇,北陸
42100,2100,岐阜準総壇,岐阜
42110,2110,長良川準総壇,長良川
42111,2111,濃尾準総壇,濃尾
42152,2152,飛騨南準総壇,飛騨南
42153,2153,飛騨道山準総壇,飛騨道山
42154,2154,飛騨のりくら準総壇,飛騨のりくら
42301,2301,愛知準総壇,愛知
42303,2303,愛知東準総壇,愛知東
42304,2304,愛北準総壇,愛北
42305,2305,愛西準総壇,愛西
42401,2401,三重準総壇,三重
42403,2403,三重北準総壇,三重北
42404,2404,三重陽光台準総壇,三重陽光台
42407,2407,松阪準総壇,松阪
42408,2408,三重一志準総壇,三重一志
42410,2410,笑円準総壇,笑円
42411,2411,伊勢あおぞら準総壇,伊勢あおぞら
52501,2501,滋賀伝道会,滋賀
52601,2601,京都伝道会,京都
52602,2602,亀岡伝道会,亀岡
52701,2701,大阪準総壇,大阪
52702,2702,大阪中央準総壇,大阪中央
52703,2703,大阪南準総壇,大阪南
52801,2801,神戸準総壇,神戸
52802,2802,三田準総壇,三田
52901,2901,奈良伝道会,奈良
63101,3101,鳥取伝道会,鳥取
63201,3201,島根伝道会,島根
63302,3302,岡山北大楽伝道会,岡山北大楽
63401,3401,広島伝道会,広島
63501,3501,山口伝道会,山口
63601,3601,徳島伝道会,徳島
63602,3602,阿南伝道会,阿南
63701,3701,香川公壇,香川
63702,3702,さぬき西準総壇,さぬき西
63703,3703,さぬき東準総壇,さぬき東
63801,3801,石鎚準総壇,石鎚
63803,3803,鬼北準総壇,鬼北
63804,3804,宇和島宇和海準総壇,宇和島宇和海
63901,3901,土佐伝道会,土佐
63902,3902,悠弥伝道会,悠弥
74001,4001,福岡公壇,福岡
74101,4101,佐賀伝道会,佐賀
74201,4201,長崎伝道会,長崎
74310,4310,熊本伝道会,熊本
74502,4502,宮崎中央準総壇,宮崎中央
74503,4503,宮崎西準総壇,宮崎西
74605,4605,鹿児島中央準総壇,鹿児島中央
74606,4606,鹿児島桜島準総壇,鹿児島桜島
84701,4701,沖縄準総壇,沖縄
84702,4702,かりゆし準総壇,かりゆし
84703,4703,ニライ準総壇,ニライ
90000,90000,弥勒寺,弥勒寺
90001,90001,加賀御神水,加賀御神水
92001,2001,信州伝道会,信州
99100,9100,聖玄武院,聖玄武院
99200,9200,聖地蔵院,聖地蔵院
99300,9300,聖明王院,聖明王院
99400,9400,聖宝珠院,聖宝珠院
99500,9500,聖北斗院,聖北斗院
99600,9600,聖妙善院,聖妙善院
99700,9700,聖天守院,聖天守院
99800,9800,聖紫光院,聖紫光院
99900,9900,聖地空院,聖地空院
